Entity,Code,Year,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy
World,OWID_WRL,2013,0.088780016,0.06944923,0.15258002,0.19678167,0.29332757,0.047163296,0.09667573
World,OWID_WRL,2014,0.08880371,0.0708258,0.18640801,0.17699121,0.25581834,0.03674719,0.086487606
World,OWID_WRL,2015,0.07820597,0.06373833,0.15209904,0.13236205,0.24600641,0.040572964,0.07443382
World,OWID_WRL,2016,0.07655825,0.073563635,0.12414846,0.115932256,0.29046017,0.053682834,0.06887895
World,OWID_WRL,2017,0.07643825,0.07696041,0.1147449,0.09117579,0.27829278,0.056270614,0.06461468
World,OWID_WRL,2018,0.05900992,0.07427453,0.108094215,0.07733191,0.16350034,0.044194844,0.054763548
World,OWID_WRL,2019,0.06915627,0.07332711,0.0931793,0.06746652,0.24160981,0.045938633,0.047994845
World,OWID_WRL,2020,0.077994786,0.06164678,0.08816005,0.060086135,0.12182434,0.050994493,0.039881755
World,OWID_WRL,2021,0.07230296,0.07372308,0.07987241,0.052132525,0.124310926,0.05323211,0.035502348
World,OWID_WRL,2022,0.06292062,0.057813246,0.07979848,0.05049542,0.122017,0.061183166,0.033651832
World,OWID_WRL,2023,0.071543775,0.07111167,0.07450562,0.044247407,0.117257856,0.057056986,0.032578353
